stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type
000010_022,東京電力前,,36.310158,139.809131,000010_022,0
000011_008,中央福祉医療専門学校,,36.300436,139.8217,000011_008,0
000011_009,雨ヶ谷新田北,,36.296919,139.821963,000011_009,0
000011_010,雨ヶ谷新田,,36.292892,139.820509,000011_010,0
000011_011,幸ヶ丘入口,,36.289872,139.818611,000011_011,0
000011_012,小松グリーンタウン,,36.286358,139.816607,000011_012,0
000011_013,雨ヶ谷公民館,,36.284394,139.815739,000011_013,0
000011_014,雨ケ谷南,,36.28151,139.81538,000011_014,0
000011_015,小山整形外科内科,,36.280261,139.816858,000011_015,0
000011_016,県営横倉第一住宅南,,36.278351,139.819098,000011_016,0
000011_017,大谷中学校,,36.27535,139.82107,000011_017,0
000011_018,大谷公民館,,36.273112,139.822545,000011_018,0
000012_002,そえやはり・きゅう整骨院,,36.277017,139.824049,000012_002,0
000012_003,県営横倉住宅,,36.276767,139.830264,000012_003,0
000012_006,とりせん小山東店,,36.282103,139.824919,000012_006,0
000012_007,横倉新田公民館北,,36.282406,139.821214,000012_007,0
000012_008,小山整形外科内科北,,36.282442,139.816987,000012_008,0
000012_009,雨ヶ谷公民館,,36.284455,139.815657,000012_009,0
000012_010,小松グリーンタウン,,36.286436,139.816526,000012_010,0
000012_011,幸ヶ丘入口,,36.289906,139.818511,000012_011,0
000012_012,雨ヶ谷新田,,36.292902,139.820394,000012_012,0
000012_013,雨ヶ谷新田北,,36.296782,139.82187,000012_013,0
000012_014,中央福祉医療専門学校,,36.300412,139.821499,000012_014,0
000013_002,小山中央医院前,【往】,36.314557,139.802592,000013_002,0
000013_003,城山公園南,【往】,36.316389,139.800111,000013_003,0
000013_004,観晃橋西,【往】,36.320468,139.79429,000013_004,0
000013_005,立木,【往】,36.323305,139.792665,000013_005,0
000013_006,下立木,【往】,36.325352,139.791597,000013_006,0
000013_007,ベイシア,【往】,36.327938,139.78928,000013_007,0
000013_008,満願寺入口,【往】,36.329634,139.789218,000013_008,0
000013_009,上立木,【往】,36.333122,139.784643,000013_009,0
000013_010,豊田分署前,【往】,36.334713,139.78219,000013_010,0
000013_011,さくらのクリニック北,【往】,36.338869,139.77898,000013_011,0
000013_012,電話交換センター,【往】,36.34351,139.779857,000013_012,0
000013_013,豊田公民館,【往】,36.348883,139.781464,000013_013,0
000013_014,思川駅,【往】,36.350536,139.781418,000013_014,0
000013_015,小山西高校前,,36.351264,139.769965,000013_015,0
000013_016,卒島郵便局,,36.347004,139.769491,000013_016,0
000013_017,豊田南小学校前,,36.344653,139.771953,000013_017,0
000013_018,船田医院前,,36.347485,139.774799,000013_018,0
000013_019,房合,,36.349665,139.776781,000013_019,0
000013_021,豊田公民館,【復】,36.348908,139.781571,000013_021,0
000013_022,電話交換センター,【復】,36.343547,139.779959,000013_022,0
000013_023,さくらのクリニック北,【復】,36.338887,139.779072,000013_023,0
000013_024,豊田分署前,【復】,36.33478,139.78226,000013_024,0
000013_025,上立木,【復】,36.333185,139.784736,000013_025,0
000013_026,満願寺入口,【復】,36.329688,139.7895,000013_026,0
000013_028,下立木,【復】,36.325362,139.791953,000013_028,0
000013_029,立木,【復】,36.323514,139.792878,000013_029,0
000013_030,観晃橋西,【復】,36.320755,139.794424,000013_030,0
000013_031,城山公園南,【復】,36.316595,139.80017,000013_031,0
000013_032,小山中央医院前,【復】,36.314693,139.802629,000013_032,0
000014_001,道の駅,,36.308304,139.760363,000014_001,0
000014_002,県南市場前,,36.31192,139.74116,000014_002,0
000014_003,中公民館前,,36.31478,139.74111,000014_003,0
000014_004,いちごの里,,36.31835,139.74461,000014_004,0
000014_005,南小林,,36.31899,139.74095,000014_005,0
000014_006,大川島,,36.32046,139.7454,000014_006,0
000014_007,生駒,,36.31941,139.7521,000014_007,0
000014_008,戸野塚医院前,【往】,36.314905,139.769378,000014_008,0
000014_009,下石塚,【往】,36.313622,139.773347,000014_009,0
000014_010,JA穂積支店前,【往】,36.311846,139.777194,000014_010,0
000014_011,大行寺,【往】,36.312328,139.784919,000014_011,0
000014_012,小山自教前,【往】,36.316173,139.790417,000014_012,0
000014_013,白鴎大学入口,【往】,36.318697,139.793689,000014_013,0
000014_019,白鴎大学入口,【復】,36.319085,139.794318,000014_019,0
000014_020,小山自教前,【復】,36.316116,139.790528,000014_020,0
000014_021,大行寺,【復】,36.312253,139.78501,000014_021,0
000014_022,JA穂積支店前,【復】,36.311905,139.776953,000014_022,0
000014_023,下石塚,【復】,36.31353,139.773281,000014_023,0
000014_024,戸野塚医院前,【復】,36.314777,139.769389,000014_024,0
000014_025,下国府塚,,36.312966,139.762362,000014_025,0
000015_009,神鳥谷六丁目,【往】,36.29499,139.79079,000015_009,0
000015_010,消防署・警察署前,【往】,36.29062,139.79695,000015_010,0
000015_011,原之内公園前,,36.28587,139.80365,000015_011,0
000015_012,ひととのやヴィレッジ,【往】,36.281861,139.803809,000015_012,0
000015_013,神鳥谷東,【往】,36.2794,139.8024,000015_013,0
000015_014,国際ティビィシィ小山看護専門学校,【往】,36.27354,139.79856,000015_014,0
000015_015,新市民病院,,36.27556,139.80082,000015_015,0
000015_016,国際ティビィシィ小山看護専門学校,【復】,36.273517,139.799295,000015_016,0
000015_017,神鳥谷東,,36.279514,139.802467,000015_017,0
000015_018,ひととのやヴィレッジ,【復】,36.281757,139.80378,000015_018,0
000015_019,原之内公園前,【復】,36.28584,139.80352,000015_019,0
000015_020,消防署・警察署前,【復】,36.29123,139.79548,000015_020,0
000015_021,神鳥谷六丁目,【復】,36.2948,139.79051,000015_021,0
000017_001,光南病院,,36.251608,139.745852,000017_001,0
000017_002,みゅぜ・ど・ぱすてる前,,36.252633,139.747582,000017_002,0
000017_003,中妻,,36.254379,139.750163,000017_003,0
000017_004,町谷入口,,36.255744,139.752244,000017_004,0
000017_005,乙女八幡宮入口,,36.25738,139.75495,000017_005,0
000017_006,博物館入口,,36.26007,139.75552,000017_006,0
000017_007,乙女上町,,36.2602,139.75807,000017_007,0
000017_009,乙女公園前,,36.25656,139.75922,000017_009,0
000017_010,飯田踏切前,,36.255331,139.758161,000017_010,0
000017_011,もみじ公園南,,36.25493,139.75941,000017_011,0
000017_012,間々田駅東口,,36.257554,139.761339,000017_012,0
000017_013,平和天神山公園,,36.25958,139.76637,000017_013,0
000017_014,富士見公園北,,36.26223,139.76795,000017_014,0
000017_015,団地西,,36.25992,139.773702,000017_015,0
000017_016,美しが丘整骨院,,36.25878,139.77538,000017_016,0
000017_017,小山南高校,,36.258884,139.777897,000017_017,0
000017_018,デンソーテン入口,,36.261384,139.776974,000017_018,0
000017_019,美しが丘公園前,,36.26366,139.775381,000017_019,0
000017_020,明野線前,,36.267358,139.774965,000017_020,0
000017_021,五料,,36.27044,139.77705,000017_021,0
000017_022,美しが丘とりせん前,,36.269421,139.775701,000017_022,0
000017_023,谷端公園北,,36.26688,139.77296,000017_023,0
000017_024,おさんみち公園北,,36.26474,139.77066,000017_024,0
000017_028,美しが丘とりせん前,,36.269755,139.775911,000017_028,0
000017_029,五料公民館前,,36.27204,139.77765,000017_029,0
000017_030,ゆりヶ丘入口,,36.27883,139.78308,000017_030,0
000017_031,粟宮下中,,36.28036,139.7854,000017_031,0
000018_003,粟宮下中,,36.28029,139.78552,000018_003,0
